date_gmt,time_period,latitude,longitude
3/06/2011,evening,53.87,8.8
4/06/2011,day,53.10666667,5.173333333
4/06/2011,evening,52.67666667,3.413333333
5/06/2011,day,52.01333333,4.316666667
5/06/2011,evening,51.93666667,5.553333333
6/06/2011,day,51.72333333,6.95
6/06/2011,evening,51.45666667,5.143333333
7/06/2011,day,51.83,4.233333333
7/06/2011,evening,52.7,5.6
8/06/2011,day,51.96,2.7075
8/06/2011,evening,52.56333333,6.023333333
9/06/2011,day,52.64,6.796666667
9/06/2011,evening,52.31333333,7.736666667
10/06/2011,day,52.35,8.306666667
10/06/2011,evening,51.80666667,7.75
11/06/2011,day,51.77333333,6.39
11/06/2011,evening,52.67666667,7.646666667
12/06/2011,day,52.71666667,8.55
12/06/2011,evening,52.07666667,7.443333333
13/06/2011,day,52.24333333,6.543333333
13/06/2011,evening,53.46,7.903333333
14/06/2011,day,53.8225,7.8975
14/06/2011,evening,53.13,6.615
15/06/2011,day,52.572,8.432
15/06/2011,evening,51.412,7.796
16/06/2011,day,51.544,6.7
16/06/2011,evening,52.172,7.364
17/06/2011,day,52.21,7.106
17/06/2011,evening,51.872,5.184
18/06/2011,day,51.95,5.04
18/06/2011,evening,52.32,4.772
19/06/2011,day,52.216,6.172
19/06/2011,evening,52.262,9.106
20/06/2011,day,52.62,8.042
20/06/2011,evening,52.324,7.218
21/06/2011,day,52.238,6.308
21/06/2011,evening,52.746,6.608
22/06/2011,day,52.784,6.162
22/06/2011,evening,52.97,6.262
23/06/2011,day,52.772,7.108
23/06/2011,evening,52.42,6.882
24/06/2011,day,52.532,6.102
24/06/2011,evening,52.912,6.618
25/06/2011,day,52.998,8.632
25/06/2011,evening,51.946,7.672
26/06/2011,day,52.06,5.866
26/06/2011,evening,53.536,7.852
27/06/2011,day,53.856,7.802
27/06/2011,evening,53.406,7.322
28/06/2011,day,52.914,8.18
28/06/2011,evening,51.958,7.74
29/06/2011,day,51.986,5.726
29/06/2011,evening,52.516,5.458
30/06/2011,day,52.576,4.558
30/06/2011,evening,53.136,5.342
1/07/2011,day,53.246,5.878
1/07/2011,evening,52.648,4.776
2/07/2011,day,52.248,7.026
2/07/2011,evening,51.75,6.77
3/07/2011,day,51.602,6.888
3/07/2011,evening,51.08,6.244
4/07/2011,day,50.912,5.628
4/07/2011,evening,51.406,6.12
5/07/2011,day,51.836,5.312
